state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,arrivals_in_tonnes
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2025-03-13,1986,2385,2171,82.1
Tamil Nadu,Nilgiris,Ooty Vegetable Market,Cabbage,Golden Acre,2025-03-13,1889,2447,2147,106.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Carrot,Ooty Orange,2025-03-13,3857,5052,4409,76.0
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2025-03-13,3865,5053,4414,73.0
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2025-03-13,4145,5463,4754,60.4
Punjab,Ludhiana,Ludhiana Mandi,Cauliflower,Snowball,2025-03-13,2764,3363,3041,67.0
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2025-03-13,2797,3472,3109,64.1
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Garlic,Desi,2025-03-13,13302,17510,15245,40.0
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2025-03-13,14928,19377,16982,34.9
Tamil Nadu,Coimbatore,Coimbatore APMC,Ginger,Fresh Green,2025-03-13,10661,13128,11800,41.9
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2025-03-13,9066,11741,10301,36.4
Andhra Pradesh,Guntur,Guntur Mirchi Yard,Green Chilli,Spicy Hybrid,2025-03-13,10731,14077,12276,40.4
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2025-03-13,11734,13724,12653,40.7
Andhra Pradesh,Chittoor,Chittoor Mango Market,Mango,Alphonso / Neelam,2025-03-13,9146,11964,10447,70.7
Maharashtra,Ratnagiri,Ratnagiri APMC,Mango,Alphonso / Neelam,2025-03-13,7945,10238,9004,81.0
Tamil Nadu,Salem,Salem Fruit Market,Mango,Alphonso / Neelam,2025-03-13,7902,10321,9019,87.7
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2025-03-13,1686,2170,1910,434.3
Maharashtra,Nashik,Lasalgaon APMC,Onion,Red Nasik,2025-03-13,1451,1929,1672,615.5
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2025-03-13,1684,2192,1919,542.0
Delhi,North Delhi,Azadpur Mandi,Orange,Nagpur Mandarin,2025-03-13,5179,6344,5717,101.9
Tamil Nadu,Coimbatore,Coimbatore APMC,Orange,Nagpur Mandarin,2025-03-13,5470,6498,5945,108.7
Maharashtra,Nagpur,Nagpur APMC,Orange,Nagpur Mandarin,2025-03-13,5416,6435,5887,75.4
Uttar Pradesh,Agra,Agra Mandi,Potato,Jyoti,2025-03-13,2633,3112,2855,294.1
Delhi,North Delhi,Azadpur Mandi,Potato,Jyoti,2025-03-13,2316,2796,2538,377.0
Punjab,Jalandhar,Jalandhar APMC,Potato,Jyoti,2025-03-13,2283,2822,2532,309.8
Tamil Nadu,Thanjavur,Thanjavur Paddy Market,Rice,Sona Masoori,2025-03-13,4377,5317,4811,829.5
Delhi,North Delhi,Azadpur Mandi,Tomato,Hybrid,2025-03-13,2959,3822,3358,136.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Tomato,Hybrid,2025-03-13,2886,3823,3319,136.2
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Tomato,Hybrid,2025-03-13,3033,3691,3337,150.9
Tamil Nadu,Erode,Erode Turmeric Market,Turmeric,Finger Salem,2025-03-13,14452,18438,16292,44.2
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2025-03-13,13459,16903,15049,47.8
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2025-03-13,2925,3803,3331,940.4
Haryana,Karnal,Karnal Mandi,Wheat,Sharbati,2025-03-13,2746,3586,3134,1159.2
Delhi,North Delhi,Azadpur Mandi,Apple,Royal Delicious,2025-03-14,15808,18843,17209,88.7
Himachal Pradesh,Shimla,Dhali Mandi,Apple,Royal Delicious,2025-03-14,15018,17736,16273,73.7
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Apple,Royal Delicious,2025-03-14,15781,20050,17752,84.1
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2025-03-14,4691,5591,5107,116.7
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2025-03-14,1977,2548,2241,93.6
Tamil Nadu,Nilgiris,Ooty Vegetable Market,Cabbage,Golden Acre,2025-03-14,1870,2369,2101,113.2
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2025-03-14,1738,2237,1969,96.3
Tamil Nadu,Coimbatore,Coimbatore APMC,Carrot,Ooty Orange,2025-03-14,4210,5292,4710,73.7
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2025-03-14,4234,5218,4689,57.6
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2025-03-14,3704,4895,4254,57.8
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2025-03-14,2625,3105,2847,94.2
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2025-03-14,14290,18137,16066,27.7
Madhya Pradesh,Mandsaur,Mandsaur Mandi,Garlic,Desi,2025-03-14,12657,15442,13943,42.0
Karnataka,Mysuru,Bandipalya APMC,Ginger,Fresh Green,2025-03-14,8037,10629,9234,51.6
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2025-03-14,8943,11386,10071,42.7
Andhra Pradesh,Guntur,Guntur Mirchi Yard,Green Chilli,Spicy Hybrid,2025-03-14,11761,14672,13105,35.1
Tamil Nadu,Salem,Salem Agri Market,Green Chilli,Spicy Hybrid,2025-03-14,10890,13378,12039,36.7
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2025-03-14,12773,15003,13803,47.6
Maharashtra,Ratnagiri,Ratnagiri APMC,Mango,Alphonso / Neelam,2025-03-14,8564,10915,9650,78.3
Tamil Nadu,Salem,Salem Fruit Market,Mango,Alphonso / Neelam,2025-03-14,8811,10970,9808,103.0
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2025-03-14,1848,2350,2080,386.8
Maharashtra,Nashik,Lasalgaon APMC,Onion,Red Nasik,2025-03-14,1696,2179,1919,563.9
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2025-03-14,1585,2026,1789,574.4
Delhi,North Delhi,Azadpur Mandi,Orange,Nagpur Mandarin,2025-03-14,4849,6410,5570,92.7
Tamil Nadu,Coimbatore,Coimbatore APMC,Orange,Nagpur Mandarin,2025-03-14,5371,6622,5949,102.1
Maharashtra,Nagpur,Nagpur APMC,Orange,Nagpur Mandarin,2025-03-14,4588,6063,5269,89.6
Uttar Pradesh,Agra,Agra Mandi,Potato,Jyoti,2025-03-14,2324,2977,2626,342.8
Delhi,North Delhi,Azadpur Mandi,Potato,Jyoti,2025-03-14,2468,2890,2663,393.4
Punjab,Jalandhar,Jalandhar APMC,Potato,Jyoti,2025-03-14,2292,2934,2589,278.4
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Potato,Jyoti,2025-03-14,2323,2829,2557,377.7
Punjab,Amritsar,Amritsar Grain Market,Rice,Sona Masoori,2025-03-14,4031,4743,4360,760.2
Tamil Nadu,Thanjavur,Thanjavur Paddy Market,Rice,Sona Masoori,2025-03-14,4324,5159,4710,979.4
Delhi,North Delhi,Azadpur Mandi,Tomato,Hybrid,2025-03-14,3138,3945,3511,101.5
Tamil Nadu,Coimbatore,Coimbatore APMC,Tomato,Hybrid,2025-03-14,2475,3157,2790,141.8
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Tomato,Hybrid,2025-03-14,3315,3877,3575,137.5
Maharashtra,Nashik,Pimpalgaon APMC,Tomato,Hybrid,2025-03-14,2790,3482,3110,132.2
Tamil Nadu,Erode,Erode Turmeric Market,Turmeric,Finger Salem,2025-03-14,13278,15714,14403,43.3
Maharashtra,Sangli,Sangli Turmeric Market,Turmeric,Finger Salem,2025-03-14,11968,15236,13477,59.4
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2025-03-14,2975,3513,3224,970.4
Haryana,Karnal,Karnal Mandi,Wheat,Sharbati,2025-03-14,2884,3604,3217,1049.5
Punjab,Ludhiana,Khanna Grain Market,Wheat,Sharbati,2025-03-14,2712,3352,3008,1011.8
Delhi,North Delhi,Azadpur Mandi,Apple,Royal Delicious,2025-03-15,14819,18508,16522,79.1
Himachal Pradesh,Shimla,Dhali Mandi,Apple,Royal Delicious,2025-03-15,13898,17857,15726,95.2
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2025-03-15,4417,5673,4997,114.5
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2025-03-15,1721,2231,1957,92.2
Punjab,Ludhiana,Ludhiana Mandi,Cauliflower,Snowball,2025-03-15,2397,3094,2719,83.5
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2025-03-15,2582,3161,2850,98.4
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Garlic,Desi,2025-03-15,14341,17659,15873,31.3
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2025-03-15,12961,16970,14812,41.5
Madhya Pradesh,Mandsaur,Mandsaur Mandi,Garlic,Desi,2025-03-15,13456,17461,15305,33.5
Tamil Nadu,Coimbatore,Coimbatore APMC,Ginger,Fresh Green,2025-03-15,10519,13664,11971,41.1
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2025-03-15,8783,11642,10103,38.4
Tamil Nadu,Salem,Salem Agri Market,Green Chilli,Spicy Hybrid,2025-03-15,11127,13028,12005,38.6
Andhra Pradesh,Chittoor,Chittoor Mango Market,Mango,Alphonso / Neelam,2025-03-15,8403,10660,9445,80.6
Maharashtra,Ratnagiri,Ratnagiri APMC,Mango,Alphonso / Neelam,2025-03-15,7478,9717,8512,108.7
Delhi,North Delhi,Azadpur Mandi,Onion,Red Nasik,2025-03-15,1806,2275,2023,529.2
Maharashtra,Nashik,Lasalgaon APMC,Onion,Red Nasik,2025-03-15,1626,2095,1843,495.0
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2025-03-15,1586,2053,1802,543.3
Delhi,North Delhi,Azadpur Mandi,Orange,Nagpur Mandarin,2025-03-15,4266,5467,4821,90.0
Tamil Nadu,Coimbatore,Coimbatore APMC,Orange,Nagpur Mandarin,2025-03-15,5286,6399,5800,78.7
Maharashtra,Nagpur,Nagpur APMC,Orange,Nagpur Mandarin,2025-03-15,4727,5656,5156,117.3
Uttar Pradesh,Agra,Agra Mandi,Potato,Jyoti,2025-03-15,2322,2869,2575,402.1
Delhi,North Delhi,Azadpur Mandi,Potato,Jyoti,2025-03-15,2304,3022,2636,298.1
Tamil Nadu,Thanjavur,Thanjavur Paddy Market,Rice,Sona Masoori,2025-03-15,4054,5368,4661,834.9
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Tomato,Hybrid,2025-03-15,3058,3616,3316,139.6
Maharashtra,Nashik,Pimpalgaon APMC,Tomato,Hybrid,2025-03-15,3096,3698,3374,138.2
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2025-03-15,2797,3510,3127,126.7
Maharashtra,Sangli,Sangli Turmeric Market,Turmeric,Finger Salem,2025-03-15,12783,15910,14227,51.1
Haryana,Karnal,Karnal Mandi,Wheat,Sharbati,2025-03-15,2595,3398,2966,898.4
Punjab,Ludhiana,Khanna Grain Market,Wheat,Sharbati,2025-03-15,2599,3326,2935,897.8
Delhi,North Delhi,Azadpur Mandi,Apple,Royal Delicious,2025-03-17,14842,18056,16326,74.1
Himachal Pradesh,Shimla,Dhali Mandi,Apple,Royal Delicious,2025-03-17,15338,18877,16972,68.8
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2025-03-17,4537,5682,5066,103.3
Tamil Nadu,Tiruchirappalli,Gandhi Market Trichy,Banana,Robusta,2025-03-17,4365,5556,4915,134.5
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2025-03-17,4541,5987,5209,113.0
Tamil Nadu,Nilgiris,Ooty Vegetable Market,Cabbage,Golden Acre,2025-03-17,1871,2408,2119,96.4
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2025-03-17,3966,5115,4497,77.2
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2025-03-17,4045,5344,4645,61.3
Delhi,North Delhi,Azadpur Mandi,Cauliflower,Snowball,2025-03-17,2453,3178,2788,90.1
Punjab,Ludhiana,Ludhiana Mandi,Cauliflower,Snowball,2025-03-17,2362,2941,2630,83.9
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2025-03-17,2632,3231,2909,74.2
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Garlic,Desi,2025-03-17,14895,17611,16149,34.6
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2025-03-17,14572,17261,15814,32.1
Madhya Pradesh,Mandsaur,Mandsaur Mandi,Garlic,Desi,2025-03-17,15518,19112,17177,30.3
Tamil Nadu,Coimbatore,Coimbatore APMC,Ginger,Fresh Green,2025-03-17,10285,12149,11146,33.1
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2025-03-17,9622,12759,11070,34.9
Andhra Pradesh,Guntur,Guntur Mirchi Yard,Green Chilli,Spicy Hybrid,2025-03-17,12573,15351,13856,47.7
Tamil Nadu,Salem,Salem Agri Market,Green Chilli,Spicy Hybrid,2025-03-17,12417,15796,13977,35.5
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2025-03-17,11832,15050,13318,36.7
Andhra Pradesh,Chittoor,Chittoor Mango Market,Mango,Alphonso / Neelam,2025-03-17,8079,10078,9002,92.0
Maharashtra,Ratnagiri,Ratnagiri APMC,Mango,Alphonso / Neelam,2025-03-17,8013,9656,8772,82.8
Tamil Nadu,Salem,Salem Fruit Market,Mango,Alphonso / Neelam,2025-03-17,9790,11533,10595,95.8
Delhi,North Delhi,Azadpur Mandi,Onion,Red Nasik,2025-03-17,1589,1900,1733,574.3
Maharashtra,Nashik,Lasalgaon APMC,Onion,Red Nasik,2025-03-17,1818,2146,1970,532.7
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2025-03-17,1619,2019,1804,545.3
Delhi,North Delhi,Azadpur Mandi,Orange,Nagpur Mandarin,2025-03-17,5047,6207,5583,98.6
Tamil Nadu,Coimbatore,Coimbatore APMC,Orange,Nagpur Mandarin,2025-03-17,5615,6937,6226,80.2
Uttar Pradesh,Agra,Agra Mandi,Potato,Jyoti,2025-03-17,2405,3114,2733,354.7
Punjab,Jalandhar,Jalandhar APMC,Potato,Jyoti,2025-03-17,2407,3069,2713,370.9
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Potato,Jyoti,2025-03-17,2350,2774,2546,306.0
Punjab,Amritsar,Amritsar Grain Market,Rice,Sona Masoori,2025-03-17,3984,5099,4499,758.5
Andhra Pradesh,Guntur,Guntur Yard,Rice,Sona Masoori,2025-03-17,4425,5228,4796,749.5
Delhi,North Delhi,Azadpur Mandi,Tomato,Hybrid,2025-03-17,3322,4372,3807,131.5
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2025-03-17,2880,3583,3205,141.3
Tamil Nadu,Erode,Erode Turmeric Market,Turmeric,Finger Salem,2025-03-17,13152,16813,14842,40.4
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2025-03-17,14130,17444,15660,52.6
Maharashtra,Sangli,Sangli Turmeric Market,Turmeric,Finger Salem,2025-03-17,12673,15274,13874,46.9
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2025-03-17,2879,3682,3250,1123.4
Haryana,Karnal,Karnal Mandi,Wheat,Sharbati,2025-03-17,2897,3600,3222,885.8
Himachal Pradesh,Shimla,Dhali Mandi,Apple,Royal Delicious,2025-03-18,15721,20337,17852,68.2
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Apple,Royal Delicious,2025-03-18,15788,20342,17890,82.4
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2025-03-18,4730,5892,5267,120.7
Tamil Nadu,Tiruchirappalli,Gandhi Market Trichy,Banana,Robusta,2025-03-18,4554,5914,5182,122.9
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2025-03-18,2090,2674,2360,103.2
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2025-03-18,2044,2613,2307,107.8
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2025-03-18,4069,5340,4656,61.9
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2025-03-18,4222,5523,4823,68.7
Delhi,North Delhi,Azadpur Mandi,Cauliflower,Snowball,2025-03-18,3025,3570,3277,73.6
Punjab,Ludhiana,Ludhiana Mandi,Cauliflower,Snowball,2025-03-18,2368,2969,2646,92.7
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2025-03-18,2755,3539,3117,68.3
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Garlic,Desi,2025-03-18,15844,19071,17334,25.5
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2025-03-18,15863,19597,17587,27.4
Madhya Pradesh,Mandsaur,Mandsaur Mandi,Garlic,Desi,2025-03-18,18275,22775,20352,26.9
Karnataka,Mysuru,Bandipalya APMC,Ginger,Fresh Green,2025-03-18,9693,11585,10567,44.5
Tamil Nadu,Coimbatore,Coimbatore APMC,Ginger,Fresh Green,2025-03-18,9846,12421,11035,45.6
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2025-03-18,9977,12940,11345,42.6
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2025-03-18,13335,16038,14583,44.1
Maharashtra,Ratnagiri,Ratnagiri APMC,Mango,Alphonso / Neelam,2025-03-18,8604,11363,9878,97.9
Delhi,North Delhi,Azadpur Mandi,Onion,Red Nasik,2025-03-18,1715,2089,1888,499.8
Maharashtra,Nashik,Lasalgaon APMC,Onion,Red Nasik,2025-03-18,1761,2213,1970,543.3
Uttar Pradesh,Agra,Agra Mandi,Potato,Jyoti,2025-03-18,2586,3161,2852,364.8
Delhi,North Delhi,Azadpur Mandi,Potato,Jyoti,2025-03-18,2339,2780,2543,299.6
Punjab,Jalandhar,Jalandhar APMC,Potato,Jyoti,2025-03-18,2498,2919,2693,285.5
Tamil Nadu,Thanjavur,Thanjavur Paddy Market,Rice,Sona Masoori,2025-03-18,4424,5270,4815,708.6
Tamil Nadu,Coimbatore,Coimbatore APMC,Tomato,Hybrid,2025-03-18,3162,3781,3448,152.1
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Tomato,Hybrid,2025-03-18,2945,3880,3377,130.3
Maharashtra,Nashik,Pimpalgaon APMC,Tomato,Hybrid,2025-03-18,2866,3522,3169,143.1
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2025-03-18,2965,3781,3342,148.6
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2025-03-18,13751,16512,15026,39.4
Haryana,Karnal,Karnal Mandi,Wheat,Sharbati,2025-03-18,2873,3407,3120,942.7
Punjab,Ludhiana,Khanna Grain Market,Wheat,Sharbati,2025-03-18,2823,3686,3222,905.2
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2025-03-19,4502,5842,5121,117.1
Tamil Nadu,Tiruchirappalli,Gandhi Market Trichy,Banana,Robusta,2025-03-19,4563,5509,5000,95.2
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2025-03-19,4486,5883,5131,106.5
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2025-03-19,1997,2364,2167,95.6
Tamil Nadu,Nilgiris,Ooty Vegetable Market,Cabbage,Golden Acre,2025-03-19,2046,2485,2249,81.0
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2025-03-19,1808,2368,2067,97.9
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2025-03-19,4230,5220,4687,67.8
Delhi,North Delhi,Azadpur Mandi,Cauliflower,Snowball,2025-03-19,2601,3133,2847,77.6
Punjab,Ludhiana,Ludhiana Mandi,Cauliflower,Snowball,2025-03-19,2430,3130,2754,100.1
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2025-03-19,2540,3356,2917,80.0
Karnataka,Mysuru,Bandipalya APMC,Ginger,Fresh Green,2025-03-19,10407,12282,11273,41.3
Tamil Nadu,Coimbatore,Coimbatore APMC,Ginger,Fresh Green,2025-03-19,10285,13113,11591,45.4
Tamil Nadu,Salem,Salem Agri Market,Green Chilli,Spicy Hybrid,2025-03-19,11806,15512,13517,44.8
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2025-03-19,13554,16237,14793,40.5
Tamil Nadu,Salem,Salem Fruit Market,Mango,Alphonso / Neelam,2025-03-19,8903,10803,9780,85.3
Delhi,North Delhi,Azadpur Mandi,Onion,Red Nasik,2025-03-19,2026,2439,2217,379.3
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2025-03-19,1765,2333,2028,436.0
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2025-03-19,1718,2179,1931,457.5
Delhi,North Delhi,Azadpur Mandi,Orange,Nagpur Mandarin,2025-03-19,5481,6970,6169,76.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Orange,Nagpur Mandarin,2025-03-19,5746,6965,6309,97.4
Maharashtra,Nagpur,Nagpur APMC,Orange,Nagpur Mandarin,2025-03-19,5439,6848,6090,104.7
Delhi,North Delhi,Azadpur Mandi,Potato,Jyoti,2025-03-19,2431,3229,2800,288.2
Punjab,Jalandhar,Jalandhar APMC,Potato,Jyoti,2025-03-19,2451,3159,2778,349.6
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Potato,Jyoti,2025-03-19,2323,3003,2637,342.8
Punjab,Amritsar,Amritsar Grain Market,Rice,Sona Masoori,2025-03-19,4364,5197,4749,731.8
Andhra Pradesh,Guntur,Guntur Yard,Rice,Sona Masoori,2025-03-19,4404,5465,4894,681.3
Tamil Nadu,Thanjavur,Thanjavur Paddy Market,Rice,Sona Masoori,2025-03-19,4338,5681,4958,833.8
Tamil Nadu,Coimbatore,Coimbatore APMC,Tomato,Hybrid,2025-03-19,2786,3662,3191,115.3
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Tomato,Hybrid,2025-03-19,2994,3927,3425,119.2
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2025-03-19,3092,3962,3494,129.9
Tamil Nadu,Erode,Erode Turmeric Market,Turmeric,Finger Salem,2025-03-19,14442,17639,15918,41.0
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2025-03-19,12893,17045,14810,50.4
Maharashtra,Sangli,Sangli Turmeric Market,Turmeric,Finger Salem,2025-03-19,13426,15804,14524,48.4
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2025-03-19,3043,3809,3397,852.0
Haryana,Karnal,Karnal Mandi,Wheat,Sharbati,2025-03-19,3123,3652,3368,942.3
Punjab,Ludhiana,Khanna Grain Market,Wheat,Sharbati,2025-03-19,2908,3581,3219,1108.3
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Apple,Royal Delicious,2025-03-20,16052,19779,17773,72.3
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2025-03-20,2104,2633,2349,97.4
Tamil Nadu,Nilgiris,Ooty Vegetable Market,Cabbage,Golden Acre,2025-03-20,1820,2241,2015,103.2
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2025-03-20,1916,2439,2158,101.3
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2025-03-20,2298,3055,2648,78.1
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Garlic,Desi,2025-03-20,15505,18592,16930,35.0
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2025-03-20,15755,20505,17948,34.5
Madhya Pradesh,Mandsaur,Mandsaur Mandi,Garlic,Desi,2025-03-20,13498,17098,15160,33.2
Tamil Nadu,Coimbatore,Coimbatore APMC,Ginger,Fresh Green,2025-03-20,10808,13783,12182,34.7
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2025-03-20,9569,12308,10834,37.8
Andhra Pradesh,Guntur,Guntur Mirchi Yard,Green Chilli,Spicy Hybrid,2025-03-20,12758,16872,14657,43.0
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2025-03-20,11169,14214,12575,51.6
Andhra Pradesh,Chittoor,Chittoor Mango Market,Mango,Alphonso / Neelam,2025-03-20,9560,11810,10599,76.4
Maharashtra,Ratnagiri,Ratnagiri APMC,Mango,Alphonso / Neelam,2025-03-20,8184,9676,8873,100.1
Delhi,North Delhi,Azadpur Mandi,Onion,Red Nasik,2025-03-20,1717,2173,1928,565.9
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2025-03-20,1895,2249,2059,539.9
Tamil Nadu,Coimbatore,Coimbatore APMC,Orange,Nagpur Mandarin,2025-03-20,4974,6497,5677,103.7
Uttar Pradesh,Agra,Agra Mandi,Potato,Jyoti,2025-03-20,2413,3171,2763,352.7
Punjab,Jalandhar,Jalandhar APMC,Potato,Jyoti,2025-03-20,2258,2981,2592,291.7
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Potato,Jyoti,2025-03-20,2193,2837,2491,388.6
Punjab,Amritsar,Amritsar Grain Market,Rice,Sona Masoori,2025-03-20,4145,5069,4572,857.9
Tamil Nadu,Thanjavur,Thanjavur Paddy Market,Rice,Sona Masoori,2025-03-20,4416,5364,4854,792.1
Delhi,North Delhi,Azadpur Mandi,Tomato,Hybrid,2025-03-20,2895,3760,3295,127.8
Tamil Nadu,Coimbatore,Coimbatore APMC,Tomato,Hybrid,2025-03-20,3346,3986,3642,108.9
Maharashtra,Nashik,Pimpalgaon APMC,Tomato,Hybrid,2025-03-20,2671,3458,3035,171.0
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2025-03-20,3078,3745,3386,110.7
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2025-03-20,13190,16894,14900,48.4
Maharashtra,Sangli,Sangli Turmeric Market,Turmeric,Finger Salem,2025-03-20,13148,16271,14590,52.1
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2025-03-20,3155,3939,3517,927.8
Haryana,Karnal,Karnal Mandi,Wheat,Sharbati,2025-03-20,2782,3539,3132,1154.4
Punjab,Ludhiana,Khanna Grain Market,Wheat,Sharbati,2025-03-20,2857,3549,3177,906.6
Delhi,North Delhi,Azadpur Mandi,Apple,Royal Delicious,2025-03-21,15487,18489,16873,76.9
Himachal Pradesh,Shimla,Dhali Mandi,Apple,Royal Delicious,2025-03-21,15761,18744,17138,90.0
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Apple,Royal Delicious,2025-03-21,15285,18761,16890,79.7
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2025-03-21,4904,5809,5322,102.1
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2025-03-21,4590,5881,5186,129.2
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2025-03-21,2100,2506,2288,87.9
